,Name,Location,Mealtime,Date,Filters,Description,Serving_Size,Calories,Fat,Carbohydrates,Protein,Allergens,Ingredients
271,Oatmeal,Fresh Inspirations,Breakfast,"Thursday, February 03, 2022","['Vegan', 'Halal', 'Nourish']",Hot old-fashioned rolled oats (may contain wheat/gluten),7 oz,105.04,1.94,18.85,3.6,Gluten/Wheat,"Whole grain oats (per manufacturer, may contain wheat/gluten) cooked in water and a pinch of salt."
272,Hard Boiled Eggs,Fresh Inspirations,Breakfast,"Thursday, February 03, 2022","['Vegetarian', 'Halal', 'Nourish']","Cage-free, hard boiled eggs",1 each,71.5,4.76,0.36,6.28,Egg,Cage free eggs
273,Assorted Bagels,Fresh Inspirations,Breakfast,"Thursday, February 03, 2022","['Vegan', 'Halal']","Per manufacturer, produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",1 bagel,390,4,74,14,Gluten/Sesame/Soybean Oil/Wheat,
274,Carrot Bread with Raisins,Fresh Inspirations,Breakfast,"Thursday, February 03, 2022",['Vegetarian'],"(may contain: peanuts, tree nuts)",1 slice,141.82,7.27,17.82,1.82,Coconut/Dairy/Egg/Gluten/Soy/Wheat,"Sugar, Enriched Wheat Flour Bleached (Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Food Starch-Modified, Soybean Oil, Dry Whey [milk], Leavening (Sodium Aluminum Phosphate, Baking Soda), Salt, Vital Wheat Gluten, Propylene Glycol Mono & Diglycerides of Fatty Acids, Mono & Diglycerides, Sodium Stearoyl Lactylate, Dextrose, Corn Starch, Tricalcium Phosphate, Soya Flour, Dry Whole Eggs, Natural and Artificial Flavor, Water, Ascorbic Acid (Dough Conditioner), Alpha Tocopherol as Preservative, Citric Acid, Eggs, Soybean Salad Oil, Carrots, Raw, Raisins, Seedless, Coconut (Desiccated Coconut, Powder Sugar, Water, Propylene Glycol, Salt), Potassium Sorbate"
275,Cream Cheese Frosted Cinnamon Rolls,Fresh Inspirations,Breakfast,"Thursday, February 03, 2022","['Vegetarian', 'Halal']","Produced in a facility that also uses milk, eggs, fish, tree nuts, peanuts, wheat, and soybeans.", each,230,12,25,4,Dairy/Gluten/Wheat,"Unbleached enriched flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), milk, butter, pure cane sugar, yeast, salt, cream cheese (pasteurized cultured milk and cream, salt, xanthan, and/or carob bean, and/or guar gums), cinnamon. Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
276,Crumb Donut,Fresh Inspirations,Breakfast,"Thursday, February 03, 2022","['Vegan', 'Halal']","Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",each,150,7,21,2,Gluten/Soy/Soybean Oil/Wheat,"Donut: unbleached enriched wheat flour (wheat flour, malted barley flour, enriched with niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), sugar, soybean oil, defatted soy flour (contains soy lecithin), leavening (sodium acid pyrophosphate, sodium bicarbonate), isolated soy protein, dextrose, wheat starch, salt, natural flavor, cellulose gum, emulsifier (polyglycerol esters of fatty acids and monoglycerides, rice starch), spice, beta carotene (color), water, palm oil. Glaze: powdered sugar (sugar, maltodextrin), corn syrup, water. Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
277,Baja Style Fish Tacos,Go Live,Lunch,"Thursday, February 03, 2022",[],"Beer-battered cod, wrapped in a flour tortilla. Topped with a creamy cilantro coleslaw and a spicy dill-chipotle sauce",1 SV,562,42,32,14,"Dairy, Egg, Soybean Oil, Alcohol, Fish, Gluten, Soy, Wheat *Ingredient prepared in a fryer that is not allergen-free",
278,House Roasted Salsa,Go Live,Lunch,"Thursday, February 03, 2022","['Vegan', 'Halal', 'Nourish']","Spicy chili peppers and Russell Ranch tomatoes roasted with garlic and onion, garnished with fresh cilantro",2 tbsp,10.15,0.4,1.6,0.32,No Major Allergens,"Green Jalapeno pepper, yellow onion, Russel Ranch tomatoes, red Fresno peppers, Habanero peppers, fresh cilantro, garlic, canola oil, iodized salt"
279,Sour Cream,Go Live,Lunch,"Thursday, February 03, 2022","['Vegetarian', 'Halal']",,2 Tablespoons,60,5,2,1,Dairy,"Cultured cream. Contains less than 2% of modified corn starch, sodium tripolyphosphate, carrageenan, locust bean gum, guar gum, potassium sorbate"
280,Aloo Gobi,Pacific Fusion,Lunch,"Thursday, February 03, 2022","['Vegan', 'Halal', 'Nourish']","Spicy potato and cauliflower curry featuring warm aromatic spices of turmeric, cumin, and garam masala",bowl,192.21,10.74,22.85,3.94,No Major Allergens,"Red potatoes, cauliflower, yellow onion, tomatoes, canola/olive oil blend, Garam Masala, Serrano peppers, garlic, ginger, ground turmeric, kosher salt, whole cumin seed, fresh cilantro"
281,Make-Your-Own Mongolian BBQ,Pacific Fusion,Lunch,"Thursday, February 03, 2022",['Halal'],"Mongolian stir-fry with choice of protein, noodles and vegetables",plate,-1,-1,-1,-1,All major allergens,[Placeholder] - all major allergens;
282,Latin Bar,Bistro,Lunch,"Thursday, February 03, 2022",[],A latin inspired bar with all items allergy friendly. Served with choice of steamed brown rice or steamed white rice,1 SV,-1,-1,-1,-1,No Major Allergens,
283,Carne Asada,Bistro,Lunch,"Thursday, February 03, 2022",[],,3.5 oz,150.71,11.69,1.2,10.77,No Major Allergens,"Beef, canola/olive oil blend, fresh cilantro, lime juice, garlic, kosher salt, ground coriander, ground black pepper, crushed red pepper flakes"
284,Garlic Onion Chicken,Bistro,Lunch,"Thursday, February 03, 2022",['Halal'],,3.5 oz,N/A,N/A,N/A,N/A,No Major Allergens,
285,Mango Vinaigrette,Bistro,Lunch,"Thursday, February 03, 2022","['Vegan', 'Halal', 'Nourish']",Sweet and tangy vinaigrette to complement your dish,2 tablespoons,120.23,13.03,2.31,0.11,No Major Allergens,"Canola/olive oil blend, mango, lime juice, rice vinegar, agave nectar, kosher salt, crushed red pepper"
286,Chipotle and Agave Vinaigrette,Bistro,Lunch,"Thursday, February 03, 2022","['Vegan', 'Nourish']",A sweet and spicy vinaigrette to complement your dish,2 tablespoons,145.1,15.39,2.91,0.05,No Major Allergens,"Canola/olive oil blend, red wine vinegar, organic agave nectar, Chipotle Adobo pepper sauce (water, tomato paste, dried Chipotle peppers, distilled vinegar, corn oil. Contains 2% or less of iodized salt, corn starch, onion powder, garlic powder, spices), kosher salt, garlic, Mexican oregano, ground black pepper"
287,Tomatillo and Avocado Salsa,Bistro,Lunch,"Thursday, February 03, 2022","['Vegan', 'Halal', 'Nourish']",House tomatillo & avocado salsa,2 tablespoons,48,5,2,0,No Major Allergens,
288,Beyond Meat Burger,Tomato Street Grill,Lunch,"Thursday, February 03, 2022","['Vegan', 'Halal']","Plant-based ""Beyond Meat"" sliders with vegan mayonnaise, lettuce, tomato, and onion",burger,554.26,33.92,37.61,26.54,Gluten/Sesame/Soybean Oil/Wheat/Coconut,"Beyond Beef vegan patty (water, pea protein isolate, expeller-pressed canola oil, refined coconut oil, rice protein, natural flavors, mung bean protein, methylcellulose, potato starch, apple extract, salt, potassium chloride, vinegar, lemon juice concentrate, sunflower lecithin, beet juice extract, pomegranate fruit powder, lycopene color), whole grain hamburger bun (whole grain wheat flour, enriched unbleached wheat flour, water, yeast, vital wheat gluten, sugar. Contains 2% or less of each of the following: vegetable oil [canola and/or soy], salt, guar and/or xanthan gum, yeast nutrient [ammonium sulfate], dough conditioners [mono-diglycerides, sodium stearoyl lactylate, ascorbic acid, monocalcium phosphate], calcium propionate, calcium sulfate, enzymes), tomato, red onion, lettuce, Kraft vegan mayonnaise (expeller-pressed canola oil, water, organic distilled vinegar. Contains less than 2% of salt, modified food starch, cane sugar, spice, natural flavor, lemon, oleoresin paprika)"
289,Curly Fries,Tomato Street Grill,Lunch,"Thursday, February 03, 2022","['Vegan', 'Halal']",Crispy curly fries lightly seasoned,3 oz,204.55,13.45,17.61,1.68,*Ingredient prepared in a fryer that`s not allergen-free/Gluten/Soybean Oil/Wheat,"Curly fries (potato, vegetable oil [soybean, canola, cottonseed, and/or sunflower], enriched flour [bleached wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid]. Contains less than 2% of cellulose gum, color [paprika oleoresin, turmeric oleoresin], degermed yellow corn meal, dextrose, food starch modified, garlic powder, onion powder, reice flour, salt, spices, disodium dihydrogen pyrophosphate), canola oil, seasoned salt (salt, onion powder, granulated garlic, sugar, ground white pepper, ground paprika)"
290,Carnitas Pizza,Saucey,Lunch,"Thursday, February 03, 2022",[],"Pizza topped with pork carnitas, monterey jack cheese, and salsa",1 SLC,197,5,29,9,"Dairy, Alcohol, Egg, Gluten, Soy, Soybean Oil, Wheat",
291,Mushroom and Olive Pizza,Saucey,Lunch,"Thursday, February 03, 2022","['Vegetarian', 'Halal']","Topped with mushroom, olive, garlic, and fresh basil",1 SLC,217.95,7.71,28.61,7.84,Dairy/Mushroom/Egg/Gluten/Soy/Soybean Oil/Wheat,"PIZZA DOUGH (enriched unbleached wheat flour [wheat flour, niacin, ferrous sulfate, thiamin mononitrate, enzyme, riboflavin, folic acid], water, yeast. Contains less than 2% of palm oil, buttermilk, salt, sugar, soybean oil, leavening [baking soda, sodium aluminum phosphate], cheddar cheese [milk, cheese cultures, salt, enzymes], low moisture part skim mozzarella cheese [pasteurized part skim milk, cheese culture, salt, enzyme], whey powder, garlic powder, guar gum, malted barley flour, dextrose, xanthan gum, datem, sodium phosphate, lactic acid, enzyme, ascorbic acid. May contain egg and soy);MOZZARELLA CHEESE (Pasteurized milk, cheese cultures, salt, enzymes);MUSHROOMS;CALIFORNIA OLIVES (Ripe olives, water, salt, ferrous gluconate added to stabilize color. May contain pits);CANOLA OIL;FRESH BASIL;GARLIC;FG CSC Sauce Pizza New Cook (GARLIC;IODIZED SALT;GROUND BLACK PEPPER;ITALIAN SEASONING (marjoram, thyme, rosemary, savory, sage, oregano, and basil);MEDITERRANEAN OREGANO;Spice, Basil Leaves;CAYENNE PEPPER;THYME;Spice, Marjoram Leaves;Tomato, Ground, Course, Peeled #10;CSC Finish Goods OVERHEAD COST;);GRANULATED GARLIC;ITALIAN SEASONING (marjoram, thyme, rosemary, savory, sage, oregano, and basil);"
292,Butternut Squash Lentil Soup,Fresh Inspirations,Lunch,"Thursday, February 03, 2022","['Vegan', 'Nourish']","Fresh butternut squash simmered with lentils, tomatoes, and spices",1 cup,103.22,2.46,17.97,3.7,Mushroom,"Water, Butternut Squash, Swiss Chard, Tomato, Yellow Onion, Lentil, Modified Corn Starch,  Jalapeno, Modified Food Starch (Corn), Celery, Canola/Olive Oil Blend, Sugar, Garlic, Salt, Gluten-Free Vegetable Soup Base, Jalapeno Pepper, Apple Cider Vinegar, Ground Cumin, Lemon Juice, Ground Paprika, Ground Cinnamon, Ground Coriander"
293,Kale and White Bean Soup,Fresh Inspirations,Lunch,"Thursday, February 03, 2022","['Vegan', 'Halal', 'Nourish']","Kale and white beans simmered in vegetable broth with tomatoes, garlic, onion, and Italian herbs",1 cup,61.84,0.06,10.31,2.08,Mushroom,"White beans, tomato, kale, gluten-free vegetable soup base (reconstituted vegetable juice blend [water and concentrated juices of carrot, celery, tomato], maltodextrin, salt, sugar, onion juice concentrate, yeast extract, cabbage juice, garlic powder, mushroom extract, spice, natural flavor), yellow onion, garlic, canola/olive oil blend, cornstarch, kosher salt, Italian seasoning"
294,Tri-Color Quinoa and Kale Salad,Fresh Inspirations,Lunch,"Thursday, February 03, 2022","['Vegan', 'Halal', 'Nourish']",A colorful salad made with fair trade quinoa,1/2 cup,157.78,9.43,16.58,4.13,Peanuts/Tree Nuts,"Kale, fair trade tri-color quinoa, tomatoes, sunflower seeds, dried cranberries, canola/olive oil blend, lemon juice, beet sugar, kosher salt, ground black pepper"
295,Red Skin Potato Salad with Eggs,Fresh Inspirations,Lunch,"Thursday, February 03, 2022","['Vegetarian', 'Halal']",, 1/2 cup,230.01,13.01,24,3,Egg/Soybean Oil,"Red potatoes, mayonnaise (soybean oil, water, egg yolks, vinegar, high fructose corn syrup, salt, spice, calcium disodium EDTA), sweet relish (cured cucumbers, high fructose corn syrup, vinegar, salt, xanthan gum, sodium benzoate, celery seed, mustard seed, alum, dehydrated red bell pepper, natural flavoring, turmeric, dehydrated onion, blue #1, polysorbate 80, calcium chloride), water, hard cooked eggs, celery, red bell pepper, green bell pepper, mustard (distilled vinegar, water, mustard seed, salt, turmeric, paprika, spice, garlic powder), onion, sugar, vinegar, green onion, salt, spices, potassium sorbate, sodium benzoate, modified corn starch, dried chives, xanthan gum"
296,Classic California Pasta Salad,Fresh Inspirations,Lunch,"Thursday, February 03, 2022","['Vegan', 'Halal']",,1 serving,140,4,22,4,Gluten/Soybean Oil/Wheat,"Tri-color rotini (durum wheat semolina, tomato solids, dried spinach, enriched with iron, niacin, thiamin mononitrate, riboflavin, folic acid), water, red bell pepper (bell peppers, water, citric acid), sugar, zucchini, celery, vinegar, carrots, soybean oil, onion, salt, xanthan gum, modified corn starch, potassium sorbate, sodium benzoate, celery seed, garlic powder"
297,Caesar Salad,Fresh Inspirations,Lunch,"Thursday, February 03, 2022",['Halal'],"Traditional Caesar salad with Romaine lettuce, Parmesan cheese, croutons, and Caesar dressing",1 SV,501.86,41.48,23.93,15.54,Dairy/Gluten/Soybean Oil/Tree Nuts/Wheat/Egg/Fish/Soy,"Romaine lettuce, Tuscan Caesar dressing (soybean oil, water, high fructose corn syrup, Parmesan and Romano cheese [pasteurized cultured milk, salt, enzymes], distilled vinegar, egg yolk, salt. Contains less than 1.5% of anchovy paste [anchovies, salt, defatted soy flour, water], dried garlic, mustard, citric acid, spice, xanthan gum, potassium sorbate, sodium benzoate, calcium disodium EDTA, dried onion, lemon juice concentrate, lactic acid, disodium inosinate, disodium guanylate, extractives of turmeric, caramel color, artificial flavor), Parmesan cheese, cheesy garlic croutons (enriched flour [wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], canola and/or sunflower oil, high fructose corn syrup, Romano cheese powder [pasteurized part skim cow`s milk, cheese culture, salt, enzyme], whey, buttermilk solids, maltodextrin, salt, sodium citrate, yeast. Contains 2% or less of salt, garlic powder, partially hydrogenated soybean oil, whey powder, sorbic acid, Romano and Parmesan cheese flavor [whey, sunflower oil, maltodextrin, Parmesan cheese {pasteurized part skim milk, cheese culture, salt, enzymes}, salt, enzyme-modified Romano cheese {pasteurized cow`s milk, culture, salt, enzymes} salt], yeast extract, citric acid, lactic acid, sodium phosphate, buttermilk powder, parsley flakes, calcium propionate, spices, soybean oil, natural flavors, rosemary extractives, extractives of turmeric and annatto, TBHQ. Per manufacturer, may contain tree nuts)"
298,Deli Bar,Fresh Inspirations,Lunch,"Thursday, February 03, 2022",[],"Assorted Meats and Cheeses with your favorite spreads, breads and veggies",1 EA,-1,-1,-1,-1,,
299,M&M Brownies,Harvest Bakery,Lunch,"Thursday, February 03, 2022",['Vegetarian'],"Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",each,210,10,29,2,Alcohol/Dairy/Egg/Gluten/Soy/Soybean Oil/Wheat,"Sugar, enriched bleached wheat flour, vegetable shortening (contains soybean oil), cocoa, dried egg whites, corn starch, dried whey, soy flour, artificial flavor, salt, water, soybean oil, milk chocolate (sugar, cocoa butter, chocolate liquor, whole milk powder, soy lecithin, vanilla), sugar, artificial color, corn syrup, wax, dextrin. Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
300,Oatmeal Raisin Cookie,Harvest Bakery,Lunch,"Thursday, February 03, 2022",['Vegetarian'],May contain peanuts and tree nuts,1 each ,250,9,38,3,"Alcohol (vanilla extract), Dairy, Egg, Gluten, Soy, Soybean Oil, Wheat",
301,Latin Bar,Bistro,Dinner,"Thursday, February 03, 2022",[],A latin inspired bar with all items allergy friendly. Served with choice of steamed brown rice or steamed white rice,1 SV,-1,-1,-1,-1,No Major Allergens,
302,Carne Asada,Bistro,Dinner,"Thursday, February 03, 2022",[],,3.5 oz,150.71,11.69,1.2,10.77,No Major Allergens,"Beef, canola/olive oil blend, fresh cilantro, lime juice, garlic, kosher salt, ground coriander, ground black pepper, crushed red pepper flakes"
