,Name,Filters,Date,Mealtime,Location,Serving Size,Calories,Fat (g),Carbohydrates (g),Protein (g),Description,Allergens,Ingredients
309,Cream Cheese Frosted Cinnamon Rolls,"['Vegetarian', 'Halal']","Thursday, February 17, 2022",Breakfast,Saucey,  each, 230, 12, 25, 4,"Produced in a facility that also uses milk, eggs, fish, tree nuts, peanuts, wheat, and soybeans.",Dairy/Gluten/Wheat,"Unbleached enriched flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), milk, butter, pure cane sugar, yeast, salt, cream cheese (pasteurized cultured milk and cream, salt, xanthan, and/or carob bean, and/or guar gums), cinnamon. Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
310,Crumb Donut,"['Vegan', 'Halal']","Thursday, February 17, 2022",Breakfast,Harvest Bakery, each, 150, 7, 21, 2,"Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",Gluten/Soy/Soybean Oil/Wheat,"Donut: unbleached enriched wheat flour (wheat flour, malted barley flour, enriched with niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), sugar, soybean oil, defatted soy flour (contains soy lecithin), leavening (sodium acid pyrophosphate, sodium bicarbonate), isolated soy protein, dextrose, wheat starch, salt, natural flavor, cellulose gum, emulsifier (polyglycerol esters of fatty acids and monoglycerides, rice starch), spice, beta carotene (color), water, palm oil. Glaze: powdered sugar (sugar, maltodextrin), corn syrup, water. Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
311,Tinga de Pollo,[],"Thursday, February 17, 2022",Lunch,Seasonality East, 1 SV, 4092.92, 29.53, 626.13, 155.82,Mexican-style chicken simmered with pork chorizo sausage and potatoes. Garnished with fresh cilantro and Queso Fresco,Soy/Dairy,"Gluten-free chicken broth (roasted and cooked chicken meat, salt, sugar, chicken fat, corn starch, hydrolyzed corn protein, autolyzed yeast extract, potassium chloride, maltodextrin, chicken broth, natural flavors, disodium inosinate, disodium guanylate, cooked chicken powder, turmeric), boneless skinless chicken thighs, tomatoes, Yukon Gold potatoes, yellow onion, corn tortilla, Hass avocado, Queso Fresco cheese, fresh cilantro, pork chorizo sausage, garlic, Worcestershire sauce (water, molasses, salt, high fructose corn syrup, corn syrup, acetic acid, caramel color, hydrolyzed soy protein, gluten free flour [millet flour, potato starch, tapioca starch, rice flour, whole grain sorghum, xanthan gum], natural flavor, guar gum, sodium benzoate), canola/olive oil blend, Chipotle Adobo pepper sauce (water, tomato paste, dried Chipotle peppers, distilled vinegar, corn oil. Contains 2% or less of iodized salt, corn starch, onion powder, garlic powder, spices), kosher salt, Mediterranean oregano"
312,Fresh Aggie Bar,[],"Thursday, February 17, 2022",Lunch,Fresh Inspirations, 1 SV, -1, -1, -1, -1,"BYO bowl Aggie style with choice of protein, veggies and sauces",, 
313,Seasoned Pork,['Nourish'],"Thursday, February 17, 2022",Lunch,Fresh Inspirations, 3.5 oz, 71.76, 2.7, 2.96, 9.17,Pork seasoned with citrus and herbs,Alcohol,"Boneless pork butt prepared with Pepsi (carbonated water, sugar, caramel color, phosphoric acid, flavorings [including caffeine]), orange juice, red cooking wine, salt, garlic, ground black pepper, ground cumin, lemon juice, lime juice||"
314,Garlic and Onion Chicken,"['Halal', 'Nourish']","Thursday, February 17, 2022",Lunch,Fresh Inspirations, 3.5 oz, 227.43, 9.87, 3.65, 29.62,,,"Halal boneless skinless chicken, yellow onion, lemon juice, canola/olive oil blend, kosher salt, fresh Italian parsley, garlic, ground black pepper"
315,Cauliflower Rice,"['Vegan', 'Halal', 'Nourish']","Thursday, February 17, 2022",Lunch,Fresh Inspirations, 3 oz, 65.88, 5.19, 4.7, 1.82,Lightly seasoned cauliflower rice,,"Cauliflower, canola/olive oil blend, kosher salt"
316,Steamed White Rice,"['Vegan', 'Halal']","Thursday, February 17, 2022",Lunch,Fresh Inspirations, 3 oz, 138.54, 0, 30.97, 3.26,Steamed white rice,,"Long grain rice (enriched with iron, niacin, thiamin, folic acid)"
317,Roasted Broccoli,"['Vegan', 'Halal', 'Nourish']","Thursday, February 17, 2022",Lunch,Fresh Inspirations, 3 oz, 58.21, 4.02, 5.12, 2.16,Broccoli lightly seasoned and roasted,,"Broccoli, canola/olive oil blend, kosher salt, ground black pepper"
318,Sauteed Garlic Green Beans,"['Vegan', 'Halal', 'Nourish']","Thursday, February 17, 2022",Lunch,Fresh Inspirations,  3 oz, 49.27, 2.81, 6.02, 1.55,Fresh green beans sauteed with garlic and lightly seasoned,,"Green beans, canola/olive oil blend, garlic, kosher salt, ground black pepper"
319,Roasted Butternut Squash,"['Vegan', 'Halal', 'Nourish']","Thursday, February 17, 2022",Lunch,Fresh Inspirations, 3 oz, 74.19, 4.24, 10.02, 0.86,Butternut squash lightly seasoned and roasted,,"Butternut squash, canola/olive oil blend, kosher salt, ground black pepper"
320,Roasted Brussels Sprouts,"['Vegan', 'Halal', 'Nourish']","Thursday, February 17, 2022",Lunch,Fresh Inspirations,  3 oz, 68.43, 4.17, 7.26, 2.73,Brussels sprouts roasted and lightly seasoned,,"Brussels sprouts, canola/olive oil blend, kosher salt, ground black pepper"
321,Sauteed Yellow Squash,"['Vegan', 'Halal', 'Nourish']","Thursday, February 17, 2022",Lunch,Fresh Inspirations, 3 oz, 33.1, 2.48, 2.76, 0.71,Fresh yellow squash sauteed and lightly seasoned,,"Yellow squash, canola/olive oil blend, kosher salt, ground black pepper"
322,Chimmichurri Sauce,"['Vegan', 'Nourish']","Thursday, February 17, 2022",Lunch,Fresh Inspirations, 2 tablespoons, 127.91, 14.43, 0.82, 0.36,"An herby sauce with cilantro, parsley, garlic, and oregano to complement your dish",,"Canola/olive oil blend, fresh Italian parsley, fresh cilantro, red wine vinegar, garlic, Mediterranean oregano, crushed red pepper"
323,Mango Vinaigrette,"['Vegan', 'Halal', 'Nourish']","Thursday, February 17, 2022",Lunch,Fresh Inspirations, 2 tablespoons, 120.23, 13.03, 2.31, 0.11,Sweet and tangy vinaigrette to complement your dish,,"Canola/olive oil blend, mango, lime juice, rice vinegar, agave nectar, kosher salt, crushed red pepper"
324,Tomatillo and Avocado Salsa,"['Vegan', 'Halal', 'Nourish']","Thursday, February 17, 2022",Lunch,Fresh Inspirations, 2 tablespoons, 48.13, 4.83, 1.67, 0.34,House tomatillo & avocado salsa,,"Tomatillos, avocado, canola/olive oil blend, fresh cilantro, kosher salt"
325,Romaine Lettuce,"['Vegan', 'Halal', 'Nourish']","Thursday, February 17, 2022",Lunch,Fresh Inspirations, 1 cup, 7.99, 0.14, 1.55, 0.58,,,Fresh Romaine lettuce
326,Chia Seeds,"['Vegan', 'Halal', 'Nourish']","Thursday, February 17, 2022",Lunch,Fresh Inspirations, 2 tablespoons, 137.73, 8.71, 11.94, 4.69,,,Organic chia seeds
327,Hawaiian Pizza,[],"Thursday, February 17, 2022",Lunch,Saucey, 1 SLC, 220.32, 7.23, 29.6, 8.44,Cheese pizza topped with pineapple and ham,Dairy/Egg/Gluten/Soy/Soybean Oil/Wheat,"Pizza dough (enriched unbleached wheat flour [wheat flour, niacin, ferrous sulfate, thiamin mononitrate, enzyme, riboflavin, folic acid], water, yeast. Contains less than 2% of palm oil, buttermilk, salt, sugar, soybean oil, leavening [baking soda, sodium aluminum phosphate], cheddar cheese [milk, cheese cultures, salt, enzymes], low moisture part skim mozzarella cheese [pasteurized part skim milk, cheese culture, salt, enzyme], whey powder, garlic powder, guar gum, malted barley flour, dextrose, xanthan gum, datem, sodium phosphate, lactic acid, enzyme, ascorbic acid. May contain egg and soy), whole milk Mozzarella cheese (pasteurized milk, cheese cultures, salt, enzymes), canned pineapple (pineapple, water, sugar, citric acid), smoked deli ham (pork cured with water, salt, sugar, dextrose, sodium phosphate, sodium erythorbate, sodium nitrite), canola oil, garlic powder, Italian seasoning, house-made pizza sauce (pear tomatoes, garlic, salt, ground black pepper, oregano, Italian seasoning, basil, ground Cayenne pepper, thyme, marjoram)"
328,Cheese Pizza,"['Vegetarian', 'Halal']","Thursday, February 17, 2022",Lunch,Saucey, 1 slice, 217.1, 7.84, 27.67, 8.35,"Topped with our house-made tomato sauce, Mozzarella, and Parmesan cheese.",Dairy/Egg/Gluten/Soy/Soybean Oil/Wheat,"Pizza dough (enriched unbleached wheat flour [wheat flour, niacin, ferrous sulfate, thiamin mononitrate, enzyme, riboflavin, folic acid], water, yeast. Contains less than 2% of palm oil, buttermilk, salt, sugar, soybean oil, leavening [baking soda, sodium aluminum phosphate], cheddar cheese [milk, cheese cultures, salt, enzymes], low moisture part skim mozzarella cheese [pasteurized part skim milk, cheese culture, salt, enzyme], whey powder, garlic powder, guar gum, malted barley flour, dextrose, xanthan gum, datem, sodium phosphate, lactic acid, enzyme, ascorbic acid. May contain egg and soy), whole milk Mozzarella (pasteurized milk, cheese cultures, salt, enzymes), Parmesan cheese (pasteurized milk, cheese cultures, salt, enzymes), house made pizza sauce (pear tomatoes, garlic, salt, ground black pepper, oregano, rosemary, savory, sage, basil, ground Cayenne pepper, thyme, marjoram), canola oil, garlic, Italian seasoning (marjoram, thyme, rosemary, savory, sage, oregano, and basil)"
329,Spicy Pork and Mustard Greens Soup,[],"Thursday, February 17, 2022",Lunch,Fresh Inspirations, 1 cup (6 fl oz), 288.36, 11.1, 35.38, 12.06,,Gluten/Soy/Wheat/Fish/Soybean Oil,"Rice noodles, ground pork, mustard greens, green onions, light soy sauce (water, soybeans, wheat, salt, lactic acid, sodium benzoate), garlic, ginger (ginger, high fructose corn syrup, soybean oil, olive oil, lactic acid, potassium sorbate), gluten-free chicken soup base (chicken broth, salt, sugar, yeast extract, chicken fat, modified corn starch, citric acid, natural flavor), canola oil, crushed red pepper, whole cumin seed, iodized salt, fish sauce (anchovy extract, water, salt, fructose, hydrolyzed vegetable protein), ground black pepper"
330,Spicy Vegan Chili,[],"Thursday, February 17, 2022",Lunch,Fresh Inspirations, 1 BAG, 3192.9, 41.4, 610.34, 141.79,,Mushroom,"Pinto beans, red kidney beans, black beans, corn, yellow onion, red bell pepper, green bell pepper, green chiles, tomato paste, gluten-free vegetable soup base (contains mushroom), red wine vinegar, salt, dark chili pepper, canola oil, jalapeno, garlic, ground black pepper, cayenne pepper, cumin, red Fresno pepper, Habanero pepper, Serrano pepper, canola/olive oil blend"
331,Cuban Potato Salad,"['Vegan', 'Nourish']","Thursday, February 17, 2022",Lunch,Fresh Inspirations,  1/2 cup, 103.14, 4.61, 15.07, 1.19,,,"Yams, Yukon potatoes, extra virgin olive oil, fresh cilantro, red wine vinegar, smoked paprika, salt, ground cumin, lime juice, ground black pepper"
332,Red Skin Potato Salad with Eggs,"['Vegetarian', 'Halal']","Thursday, February 17, 2022",Lunch,Fresh Inspirations,  1/2 cup, 230.01, 13.01, 24, 3,,Egg/Soybean Oil,"Red potatoes, mayonnaise (soybean oil, water, egg yolks, vinegar, high fructose corn syrup, salt, spice, calcium disodium EDTA), sweet relish (cured cucumbers, high fructose corn syrup, vinegar, salt, xanthan gum, sodium benzoate, celery seed, mustard seed, alum, dehydrated red bell pepper, natural flavoring, turmeric, dehydrated onion, blue #1, polysorbate 80, calcium chloride), water, hard cooked eggs, celery, red bell pepper, green bell pepper, mustard (distilled vinegar, water, mustard seed, salt, turmeric, paprika, spice, garlic powder), onion, sugar, vinegar, green onion, salt, spices, potassium sorbate, sodium benzoate, modified corn starch, dried chives, xanthan gum"
333,Classic California Pasta Salad,"['Vegan', 'Halal']","Thursday, February 17, 2022",Lunch,Fresh Inspirations, 1 serving, 140, 4, 22, 4,,Gluten/Soybean Oil/Wheat,"Tri-color rotini (durum wheat semolina, tomato solids, dried spinach, enriched with iron, niacin, thiamin mononitrate, riboflavin, folic acid), water, red bell pepper (bell peppers, water, citric acid), sugar, zucchini, celery, vinegar, carrots, soybean oil, onion, salt, xanthan gum, modified corn starch, potassium sorbate, sodium benzoate, celery seed, garlic powder"
334,CHEF CHOICE SALAD,[],"Thursday, February 17, 2022",Lunch,Fresh Inspirations, 1 EA, -1, -1, -1, -1,,,
335,Caesar Salad,['Halal'],"Thursday, February 17, 2022",Lunch,Fresh Inspirations, 1 SV, 501.86, 41.48, 23.93, 15.54,"Traditional Caesar salad with Romaine lettuce, Parmesan cheese, croutons, and Caesar dressing",Dairy/Gluten/Soybean Oil/Tree Nuts/Wheat/Egg/Fish/Soy,"Romaine lettuce, Tuscan Caesar dressing (soybean oil, water, high fructose corn syrup, Parmesan and Romano cheese [pasteurized cultured milk, salt, enzymes], distilled vinegar, egg yolk, salt. Contains less than 1.5% of anchovy paste [anchovies, salt, defatted soy flour, water], dried garlic, mustard, citric acid, spice, xanthan gum, potassium sorbate, sodium benzoate, calcium disodium EDTA, dried onion, lemon juice concentrate, lactic acid, disodium inosinate, disodium guanylate, extractives of turmeric, caramel color, artificial flavor), Parmesan cheese, cheesy garlic croutons (enriched flour [wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], canola and/or sunflower oil, high fructose corn syrup, Romano cheese powder [pasteurized part skim cow`s milk, cheese culture, salt, enzyme], whey, buttermilk solids, maltodextrin, salt, sodium citrate, yeast. Contains 2% or less of salt, garlic powder, partially hydrogenated soybean oil, whey powder, sorbic acid, Romano and Parmesan cheese flavor [whey, sunflower oil, maltodextrin, Parmesan cheese {pasteurized part skim milk, cheese culture, salt, enzymes}, salt, enzyme-modified Romano cheese {pasteurized cow`s milk, culture, salt, enzymes} salt], yeast extract, citric acid, lactic acid, sodium phosphate, buttermilk powder, parsley flakes, calcium propionate, spices, soybean oil, natural flavors, rosemary extractives, extractives of turmeric and annatto, TBHQ. Per manufacturer, may contain tree nuts)"
336,Deli Bar,[],"Thursday, February 17, 2022",Lunch,Saucey, 1 EA, -1, -1, -1, -1,"Assorted Meats and Cheeses with your favorite spreads, breads and veggies",,
337,M&M Brownies,['Vegetarian'],"Thursday, February 17, 2022",Lunch,Harvest Bakery, each, 210, 10, 29, 2,"Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",Alcohol/Dairy/Egg/Gluten/Soy/Soybean Oil/Wheat,"Sugar, enriched bleached wheat flour, vegetable shortening (contains soybean oil), cocoa, dried egg whites, corn starch, dried whey, soy flour, artificial flavor, salt, water, soybean oil, milk chocolate (sugar, cocoa butter, chocolate liquor, whole milk powder, soy lecithin, vanilla), sugar, artificial color, corn syrup, wax, dextrin. Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
338,Oatmeal Raisin Cookie,['Vegetarian'],"Thursday, February 17, 2022",Lunch,Harvest Bakery, each, 250, 9, 38, 3,May contain peanuts and tree nuts,Alcohol [vanilla extract]/Dairy/Egg/Gluten/Soy/Soybean Oil/Wheat,"Sugar, enriched bleached flour (bleached wheat flour, malted barley flour, niacin, iron, thiamin, mononitrate, riboflavin, folic acid), margarine (contains dairy and soybean oil), sugar, milk chocolate chips (sugar, cocoa butter, whole milk powder, unsweetened chocolate, soy lecithin, vanillin, salt), semi-sweet chocolate chips (sugar, unsweetened chocolate, cocoa butter, soy lecithin, vanilla extract, milk), invert sugar, corn syrup, cocoa, eggs. Contains 2% or less of modified corn starch, water, chicory root fiber, baking soda, salt, natural and artificial flavor"
339,Vegan Chocolate Chip Cookie,"['Vegan', 'Halal']","Thursday, February 17, 2022",Lunch,Harvest Bakery, 1 cookie, 190, 11, 38, 2.3,,Gluten/Wheat,"Vegan chocolate chips, unbleached wheat flour, organic evaporated cane sugar, sustainable RSPO palm oil shortening, vegan molasses, grape juice, rice dextrins, sea salt, pure vanilla, baking soda"
340,Huli Huli Chicken,['Nourish'],"Thursday, February 17, 2022",Dinner,Seasonality West, 3.5 oz, 186.96, 12.56, 4.79, 12.84,Bone-in chicken thighs prepared in a sweet and tangy marinade,Gluten/Soy/Wheat/Alcohol,"Bone-in chicken thigh, pineapple juice, ketchup (tomato concentrate made from red ripe tomatoes, distilled vinegar, high fructose corn syrup, corn syrup, salt, spice, onion powder, natural flavoring), soy sauce (water, soybeans, wheat, salt, lactic acid, sodium benzoate), light brown beet sugar, ginger, Sriracha sauce (chili, sugar, salt, garlic, distilled vinegar, potassium sorbate, sodium bisulfite, xanthan gum), garlic, Hickory liquid smoke (water, natural liquid smoke, polysorbate 80), Mirin cooking wine (glucose syrup, water, alcohol, rice, corn syrup, salt), ground black pepper"
341,Macaroni Salad,"['Vegetarian', 'Halal', 'Nourish']","Thursday, February 17, 2022",Dinner,Seasonality West, 1/2 cup, 150.73, 4.54, 24.56, 3.93,"Classic creamy salad made with macaroni noodles, celery, onions, carrots, & sweet green relish",Egg/Soybean Oil/Gluten/Wheat,"Elbow macaroni (contains wheat/gluten, prepared in canola oil), celery, mayonnaise (contains egg and soybean oil), red onion, sweet green relish, carrot, salt, ground black pepper"
